Name,Family,Genus,Common_Name
Aronia melanocarpa,Rosaceae,Aronia,Black Chokeberry
Chaenomeles speciosa,Rosaceae,Chaenomeles,Flowering Quince
Physocarpus opulifolius,Rosaceae,Physocarpus,Ninebark
Pyracantha coccinea,Rosaceae,Pyracantha,Scarlet Firethorn
Kerria japonica,Rosaceae,Kerria,Japanese Rose
Glycine max,Fabaceae,Glycine,"Soybean,Soya Bean"
Pisum sativum,Fabaceae,Pisum,"Pea,Garden Pea"
Phaseolus vulgaris,Fabaceae,Phaseolus,"Common Bean,Green Bean,Kidney Bean"
Phaseolus lunatus,Fabaceae,Phaseolus,"Lima Bean,Butter Bean"
Phaseolus coccineus,Fabaceae,Phaseolus,"Runner Bean,Scarlet Runner Bean"
Arachis hypogaea,Fabaceae,Arachis,"Peanut,Groundnut"
Medicago sativa,Fabaceae,Medicago,"Alfalfa,Lucerne"
Trifolium repens,Fabaceae,Trifolium,White Clover
Trifolium pratense,Fabaceae,Trifolium,Red Clover
Vicia faba,Fabaceae,Vicia,"Broad Bean,Fava Bean"
Lens culinaris,Fabaceae,Lens,Lentil
Cicer arietinum,Fabaceae,Cicer,"Chickpea,Garbanzo Bean"
Lupinus albus,Fabaceae,Lupinus,White Lupin
Robinia pseudoacacia,Fabaceae,Robinia,Black Locust
Cercis canadensis,Fabaceae,Cercis,Eastern Redbud
Wisteria sinensis,Fabaceae,Wisteria,Chinese Wisteria
Lathyrus odoratus,Fabaceae,Lathyrus,Sweet Pea
Acacia dealbata,Fabaceae,Acacia,"Silver Wattle,Mimosa"
Albizia julibrissin,Fabaceae,Albizia,Silk Tree
Caesalpinia pulcherrima,Fabaceae,Caesalpinia,"Peacock Flower,Pride of Barbados"
Cassia fistula,Fabaceae,Cassia,Golden Shower Tree
Delonix regia,Fabaceae,Delonix,"Royal Poinciana,Flamboyant"
Erythrina crista-galli,Fabaceae,Erythrina,Cockspur Coral Tree
Glycyrrhiza glabra,Fabaceae,Glycyrrhiza,"Liquorice,Licorice"
Indigofera tinctoria,Fabaceae,Indigofera,True Indigo
Mimosa pudica,Fabaceae,Mimosa,"Sensitive Plant,Touch-me-not"
Parkinsonia aculeata,Fabaceae,Parkinsonia,Mexican Palo Verde
Pueraria montana,Fabaceae,Pueraria,Kudzu
Tamarindus indica,Fabaceae,Tamarindus,Tamarind
Vigna unguiculata,Fabaceae,Vigna,"Cowpea,Black-eyed Pea"
Vigna radiata,Fabaceae,Vigna,Mung Bean
Cajanus cajan,Fabaceae,Cajanus,"Pigeon Pea,Toor Dal"
Ceratonia siliqua,Fabaceae,Ceratonia,Carob Tree
Senna alexandrina,Fabaceae,Senna,Alexandrian Senna
Bauhinia variegata,Fabaceae,Bauhinia,Orchid Tree
Gleditsia triacanthos,Fabaceae,Gleditsia,Honey Locust
Ulex europaeus,Fabaceae,Ulex,"Gorse,Common Gorse"
Cytisus scoparius,Fabaceae,Cytisus,"Broom,Scotch Broom"
Trigonella foenum-graecum,Fabaceae,Trigonella,Fenugreek
Melilotus officinalis,Fabaceae,Melilotus,Yellow Sweet Clover
Lotus corniculatus,Fabaceae,Lotus,Bird's-foot Trefoil
Onobrychis viciifolia,Fabaceae,Onobrychis,Sainfoin
Solanum tuberosum,Solanaceae,Solanum,Potato
Solanum lycopersicum,Solanaceae,Solanum,Tomato
Solanum melongena,Solanaceae,Solanum,"Eggplant,Aubergine"
Solanum quitoense,Solanaceae,Solanum,"Naranjilla,Lulo"
Capsicum annuum,Solanaceae,Capsicum,"Bell Pepper,Chili Pepper,Jalapeño"
Capsicum frutescens,Solanaceae,Capsicum,"Tabasco Pepper,Bird's eye chili"
Capsicum chinense,Solanaceae,Capsicum,"Habanero,Scotch Bonnet"
Nicotiana tabacum,Solanaceae,Nicotiana,Cultivated Tobacco
Petunia × atkinsiana,Solanaceae,Petunia,Common Garden Petunia
Datura stramonium,Solanaceae,Datura,"Jimsonweed,Thorn apple"
Atropa belladonna,Solanaceae,Atropa,"Deadly Nightshade,Belladonna"
Hyoscyamus niger,Solanaceae,Hyoscyamus,Henbane
Mandragora officinarum,Solanaceae,Mandragora,Mandrake
Physalis peruviana,Solanaceae,Physalis,"Cape Gooseberry,Inca Berry"
Physalis philadelphica,Solanaceae,Physalis,Tomatillo
Withania somnifera,Solanaceae,Withania,"Ashwagandha,Indian Ginseng"
Lycium barbarum,Solanaceae,Lycium,"Goji Berry,Wolfberry"
Schizanthus pinnatus,Solanaceae,Schizanthus,"Butterfly Flower,Poor Man's Orchid"
Brugmansia suaveolens,Solanaceae,Brugmansia,Angel's Trumpet
Calibrachoa parviflora,Solanaceae,Calibrachoa,Million Bells
Brassica oleracea,Brassicaceae,Brassica,"Cabbage,Broccoli,Cauliflower,Kale,Brussels Sprouts"
Brassica rapa,Brassicaceae,Brassica,"Turnip,Bok Choy,Napa Cabbage"
Brassica nigra,Brassicaceae,Brassica,Black Mustard
Brassica napus,Brassicaceae,Brassica,"Rapeseed,Canola,Rutabaga"
Raphanus sativus,Brassicaceae,Raphanus,Radish
Sinapis alba,Brassicaceae,Sinapis,"White Mustard,Yellow Mustard"
Arabidopsis thaliana,Brassicaceae,Arabidopsis,Thale Cress
Lunaria annua,Brassicaceae,Lunaria,"Honesty,Money Plant"
Iberis sempervirens,Brassicaceae,Iberis,Evergreen Candytuft
Armoracia rusticana,Brassicaceae,Armoracia,Horseradish
Aubrieta deltoidea,Brassicaceae,Aubrieta,"Rock Cress,Aubretia"
Barbarea vulgaris,Brassicaceae,Barbarea,"Winter Cress,Yellow Rocket"
Capsella bursa-pastoris,Brassicaceae,Capsella,Shepherd's Purse
Eruca vesicaria,Brassicaceae,Eruca,"Arugula,Rocket"
Erysimum cheiri,Brassicaceae,Erysimum,Wallflower
Hesperis matronalis,Brassicaceae,Hesperis,"Dame's Rocket,Sweet Rocket"
Lepidium sativum,Brassicaceae,Lepidium,Garden Cress
Lobularia maritima,Brassicaceae,Lobularia,Sweet Alyssum
Matthiola incana,Brassicaceae,Matthiola,"Stock,Gillyflower"
Nasturtium officinale,Brassicaceae,Nasturtium,Watercress
Crambe maritima,Brassicaceae,Crambe,Sea Kale
Wasabia japonica,Brassicaceae,Wasabia,Wasabi
Isatis tinctoria,Brassicaceae,Isatis,"Woad,Dyer's Woad"
Helianthus annuus,Asteraceae,Helianthus,Common Sunflower
Helianthus tuberosus,Asteraceae,Helianthus,"Jerusalem Artichoke,Sunchoke"
Taraxacum officinale,Asteraceae,Taraxacum,Dandelion
Lactuca sativa,Asteraceae,Lactuca,Lettuce
Cichorium intybus,Asteraceae,Cichorium,"Chicory,Radicchio"
Cichorium endivia,Asteraceae,Cichorium,"Endive,Escarole"
Dahlia pinnata,Asteraceae,Dahlia,Garden Dahlia
Zinnia elegans,Asteraceae,Zinnia,Common Zinnia
Tagetes erecta,Asteraceae,Tagetes,"African Marigold,Aztec Marigold"
Tagetes patula,Asteraceae,Tagetes,French Marigold
Echinacea purpurea,Asteraceae,Echinacea,Purple Coneflower
Rudbeckia hirta,Asteraceae,Rudbeckia,Black-eyed Susan
Achillea millefolium,Asteraceae,Achillea,"Yarrow,Common Yarrow"
Bellis perennis,Asteraceae,Bellis,"Common Daisy,English Daisy"
Calendula officinalis,Asteraceae,Calendula,"Pot Marigold,Common Marigold"
Carduus nutans,Asteraceae,Carduus,Musk Thistle
Cirsium vulgare,Asteraceae,Cirsium,"Spear Thistle,Bull Thistle"
Cosmos bipinnatus,Asteraceae,Cosmos,"Garden Cosmos,Mexican Aster"
Cynara cardunculus,Asteraceae,Cynara,"Artichoke,Cardoon"
Gaillardia pulchella,Asteraceae,Gaillardia,"Indian Blanket,Firewheel"
Gerbera jamesonii,Asteraceae,Gerbera,"Gerbera Daisy,Transvaal Daisy"
Leucanthemum vulgare,Asteraceae,Leucanthemum,"Ox-eye Daisy,Dog Daisy"
Matricaria chamomilla,Asteraceae,Matricaria,German Chamomile
Solidago canadensis,Asteraceae,Solidago,Canada Goldenrod
Tanacetum parthenium,Asteraceae,Tanacetum,Feverfew
Tussilago farfara,Asteraceae,Tussilago,Coltsfoot
Ageratum houstonianum,Asteraceae,Ageratum,"Flossflower,Bluemink"
Anthemis nobilis,Asteraceae,Anthemis,Roman Chamomile
Arctium lappa,Asteraceae,Arctium,"Greater Burdock,Gobo"
Arnica montana,Asteraceae,Arnica,"Mountain Arnica,Wolf's Bane"
Artemisia dracunculus,Asteraceae,Artemisia,Tarragon
Artemisia absinthium,Asteraceae,Artemisia,"Wormwood,Absinthe"
Callistephus chinensis,Asteraceae,Callistephus,China Aster
Carthamus tinctorius,Asteraceae,Carthamus,Safflower
Centaurea cyanus,Asteraceae,Centaurea,"Cornflower,Bachelor's Button"
Silybum marianum,Asteraceae,Silybum,Milk Thistle
Stevia rebaudiana,Asteraceae,Stevia,"Stevia,Sweetleaf"
Tanacetum cinerariifolium,Asteraceae,Tanacetum,Pyrethrum Daisy
Tanacetum vulgare,Asteraceae,Tanacetum,Tansy
Guizotia abyssinica,Asteraceae,Guizotia,Niger Seed
Cucurbita pepo,Cucurbitaceae,Cucurbita,"Zucchini,Pumpkin,Acorn Squash,Summer Squash"
Cucurbita maxima,Cucurbitaceae,Cucurbita,"Winter Squash,Hubbard Squash,Kabocha"
Cucurbita moschata,Cucurbitaceae,Cucurbita,"Butternut Squash,Crookneck Squash"
Citrullus lanatus,Cucurbitaceae,Citrullus,Watermelon
Cucumis sativus,Cucurbitaceae,Cucumis,Cucumber
Cucumis melo,Cucurbitaceae,Cucumis,"Cantaloupe,Honeydew,Muskmelon"
Lagenaria siceraria,Cucurbitaceae,Lagenaria,"Bottle Gourd,Calabash"
Momordica charantia,Cucurbitaceae,Momordica,"Bitter Melon,Bitter Gourd"
Sechium edule,Cucurbitaceae,Sechium,Chayote
Benincasa hispida,Cucurbitaceae,Benincasa,"Winter Melon,Ash Gourd"
Ecballium elaterium,Cucurbitaceae,Ecballium,Squirting Cucumber
Ocimum basilicum,Lamiaceae,Ocimum,"Basil,Sweet Basil"
Salvia officinalis,Lamiaceae,Salvia,"Common Sage,Garden Sage"
Salvia hispanica,Lamiaceae,Salvia,Chia
Salvia rosmarinus,Lamiaceae,Salvia,Rosemary
Thymus vulgaris,Lamiaceae,Thymus,"Common Thyme,Garden Thyme"
Origanum vulgare,Lamiaceae,Origanum,"Oregano,Wild Marjoram"
Origanum majorana,Lamiaceae,Origanum,Marjoram
Mentha spicata,Lamiaceae,Mentha,Spearmint
Mentha × piperita,Lamiaceae,Mentha,Peppermint
Lavandula angustifolia,Lamiaceae,Lavandula,"Lavender,English Lavender"
Monarda didyma,Lamiaceae,Monarda,"Bee Balm,Oswego Tea"
Plectranthus scutellarioides,Lamiaceae,Plectranthus,Coleus
Agastache foeniculum,Lamiaceae,Agastache,Anise Hyssop
Hyssopus officinalis,Lamiaceae,Hyssopus,Hyssop
Lamium album,Lamiaceae,Lamium,White Dead-nettle
Marrubium vulgare,Lamiaceae,Marrubium,White Horehound
Melissa officinalis,Lamiaceae,Melissa,Lemon Balm
Nepeta cataria,Lamiaceae,Nepeta,"Catnip,Catmint"
Perilla frutescens,Lamiaceae,Perilla,"Perilla,Shiso"
Prunella vulgaris,Lamiaceae,Prunella,"Self-heal,Heal-all"
Salvia splendens,Lamiaceae,Salvia,Scarlet Sage
Satureja hortensis,Lamiaceae,Satureja,Summer Savory
Satureja montana,Lamiaceae,Satureja,Winter Savory
Scutellaria lateriflora,Lamiaceae,Scutellaria,Skullcap
Stachys byzantina,Lamiaceae,Stachys,Lamb's-ear
Teucrium chamaedrys,Lamiaceae,Teucrium,Wall Germander
Tectona grandis,Lamiaceae,Tectona,Teak
Vitex agnus-castus,Lamiaceae,Vitex,Chaste Tree
Daucus carota,Apiaceae,Daucus,Carrot
Pastinaca sativa,Apiaceae,Pastinaca,Parsnip
Apium graveolens,Apiaceae,Apium,"Celery,Celeriac"
Petroselinum crispum,Apiaceae,Petroselinum,Parsley
Anethum graveolens,Apiaceae,Anethum,Dill
Coriandrum sativum,Apiaceae,Coriandrum,"Coriander,Cilantro"
Foeniculum vulgare,Apiaceae,Foeniculum,Fennel
Conium maculatum,Apiaceae,Conium,Poison Hemlock
Aegopodium podagraria,Apiaceae,Aegopodium,"Goutweed,Bishop's Weed"
Angelica archangelica,Apiaceae,Angelica,Garden Angelica
Anthriscus cerefolium,Apiaceae,Anthriscus,Chervil
Astrantia major,Apiaceae,Astrantia,Great Masterwort
Carum carvi,Apiaceae,Carum,Caraway
Cuminum cyminum,Apiaceae,Cuminum,Cumin
Eryngium maritimum,Apiaceae,Eryngium,Sea Holly
Levisticum officinale,Apiaceae,Levisticum,Lovage
Myrrhis odorata,Apiaceae,Myrrhis,Sweet Cicely
Pimpinella anisum,Apiaceae,Pimpinella,"Anise,Aniseed"
Heracleum sphondylium,Apiaceae,Heracleum,"Hogweed,Cow Parsnip"
Acer saccharum,Sapindaceae,Acer,Sugar Maple
Acer platanoides,Sapindaceae,Acer,Norway Maple
Acer pseudoplatanus,Sapindaceae,Acer,Sycamore Maple
Acer palmatum,Sapindaceae,Acer,Japanese Maple
Acer rubrum,Sapindaceae,Acer,Red Maple
Aesculus hippocastanum,Sapindaceae,Aesculus,Horse-chestnut
Koelreuteria paniculata,Sapindaceae,Koelreuteria,Golden Rain Tree
Litchi chinensis,Sapindaceae,Litchi,Lychee
Nephelium lappaceum,Sapindaceae,Nephelium,Rambutan
Paullinia cupana,Sapindaceae,Paullinia,Guaraná
Sapindus saponaria,Sapindaceae,Sapindus,Soapberry
Cardiospermum halicacabum,Sapindaceae,Cardiospermum,Balloon Vine
Dodonaea viscosa,Sapindaceae,Dodonaea,Hopseed Bush
Quercus robur,Fagaceae,Quercus,"English Oak,Pedunculate Oak"
Quercus rubra,Fagaceae,Quercus,Red Oak
Quercus alba,Fagaceae,Quercus,White Oak
Quercus suber,Fagaceae,Quercus,Cork Oak
Quercus ilex,Fagaceae,Quercus,Holm Oak
Fagus sylvatica,Fagaceae,Fagus,European Beech
Fagus grandifolia,Fagaceae,Fagus,American Beech
Castanea sativa,Fagaceae,Castanea,Sweet Chestnut
Castanea dentata,Fagaceae,Castanea,American Chestnut
Castanea mollissima,Fagaceae,Castanea,Chinese Chestnut
Betula pendula,Betulaceae,Betula,"Silver Birch,European White Birch"
Betula papyrifera,Betulaceae,Betula,"Paper Birch,Canoe Birch"
Alnus glutinosa,Betulaceae,Alnus,"Common Alder,Black Alder"
Corylus avellana,Betulaceae,Corylus,"Common Hazel,Cobnut"
Corylus maxima,Betulaceae,Corylus,Filbert
Carpinus betulus,Betulaceae,Carpinus,European Hornbeam
Ostrya virginiana,Betulaceae,Ostrya,"American Hophornbeam,Ironwood"
Salix alba,Salicaceae,Salix,White Willow
Salix babylonica,Salicaceae,Salix,Weeping Willow
Populus tremula,Salicaceae,Populus,European Aspen
Populus nigra,Salicaceae,Populus,Black Poplar
Populus deltoides,Salicaceae,Populus,Eastern Cottonwood
Populus balsamifera,Salicaceae,Populus,Balsam Poplar
Fraxinus excelsior,Oleaceae,Fraxinus,"European Ash,Common Ash"
Fraxinus americana,Oleaceae,Fraxinus,White Ash
Syringa vulgaris,Oleaceae,Syringa,Common Lilac
Forsythia × intermedia,Oleaceae,Forsythia,Border Forsythia
Olea europaea,Oleaceae,Olea,Olive
Ligustrum vulgare,Oleaceae,Ligustrum,"Common Privet,Wild Privet"
Jasminum officinale,Oleaceae,Jasminum,"Common Jasmine,Poet's Jasmine"
Osmanthus fragrans,Oleaceae,Osmanthus,"Sweet Olive,Tea Olive"
Chionanthus virginicus,Oleaceae,Chionanthus,White Fringetree
Nyctanthes arbor-tristis,Oleaceae,Nyctanthes,"Night-flowering Jasmine,Parijat"
Rhododendron ponticum,Ericaceae,Rhododendron,Common Rhododendron
Vaccinium myrtillus,Ericaceae,Vaccinium,"Bilberry,European Blueberry"
Vaccinium macrocarpon,Ericaceae,Vaccinium,"Cranberry,American Cranberry"
Vaccinium corymbosum,Ericaceae,Vaccinium,Highbush Blueberry
Vaccinium vitis-idaea,Ericaceae,Vaccinium,"Lingonberry,Cowberry"
Calluna vulgaris,Ericaceae,Calluna,"Heather,Ling"
Erica carnea,Ericaceae,Erica,"Winter Heath,Alpine Heath"
Arbutus unedo,Ericaceae,Arbutus,Strawberry Tree
Gaultheria procumbens,Ericaceae,Gaultheria,"Wintergreen,Teaberry"
Kalmia latifolia,Ericaceae,Kalmia,Mountain Laurel
Pieris japonica,Ericaceae,Pieris,Japanese Andromeda
Arctostaphylos uva-ursi,Ericaceae,Arctostaphylos,"Bearberry,Kinnikinnick"
Oxydendrum arboreum,Ericaceae,Oxydendrum,Sourwood
Gaylussacia baccata,Ericaceae,Gaylussacia,Black Huckleberry
Hydrangea macrophylla,Hydrangeaceae,Hydrangea,"Bigleaf Hydrangea,Mophead Hydrangea"
Hydrangea paniculata,Hydrangeaceae,Hydrangea,Panicle Hydrangea
Philadelphus coronarius,Hydrangeaceae,Philadelphus,Mock-orange
Deutzia scabra,Hydrangeaceae,Deutzia,Fuzzy Deutzia
Carpenteria californica,Hydrangeaceae,Carpenteria,Tree Anemone
Schizophragma hydrangeoides,Hydrangeaceae,Schizophragma,Japanese Hydrangea Vine
Lonicera periclymenum,Caprifoliaceae,Lonicera,"Honeysuckle,Woodbine"
Viburnum opulus,Adoxaceae,Viburnum,"Guelder-rose,European Cranberrybush"
Viburnum tinus,Adoxaceae,Viburnum,Laurustinus
Viburnum lantana,Adoxaceae,Viburnum,Wayfaring tree
Sambucus nigra,Adoxaceae,Sambucus,"Elder,European Elderberry"
Sambucus canadensis,Adoxaceae,Sambucus,American Elder
Adoxa moschatellina,Adoxaceae,Adoxa,Moschatel
Weigela florida,Caprifoliaceae,Weigela,Old-fashioned Weigela
Kolkwitzia amabilis,Caprifoliaceae,Kolkwitzia,Beauty Bush
Symphoricarpos albus,Caprifoliaceae,Symphoricarpos,Common Snowberry
Valeriana officinalis,Caprifoliaceae,Valeriana,Valerian
Centranthus ruber,Caprifoliaceae,Centranthus,Red Valerian
Dipsacus fullonum,Caprifoliaceae,Dipsacus,Fuller's Teasel
Scabiosa columbaria,Caprifoliaceae,Scabiosa,"Small Scabious,Pincushion Flower"
Knautia arvensis,Caprifoliaceae,Knautia,Field Scabious
Anemone nemorosa,Ranunculaceae,Anemone,Wood Anemone
Anemone coronaria,Ranunculaceae,Anemone,Poppy Anemone
Aquilegia vulgaris,Ranunculaceae,Aquilegia,"Common Columbine,Granny's Bonnet"
Clematis vitalba,Ranunculaceae,Clematis,"Old Man's Beard,Traveller's Joy"
Delphinium elatum,Ranunculaceae,Delphinium,"Larkspur,Alpine Delphinium"
Helleborus niger,Ranunculaceae,Helleborus,Christmas Rose
Pulsatilla vulgaris,Ranunculaceae,Pulsatilla,Pasque Flower
Ranunculus acris,Ranunculaceae,Ranunculus,Meadow Buttercup
Trollius europaeus,Ranunculaceae,Trollius,Globeflower
Aconitum napellus,Ranunculaceae,Aconitum,"Monk's Hood,Wolf's Bane"
Actaea spicata,Ranunculaceae,Actaea,Baneberry
Adonis vernalis,Ranunculaceae,Adonis,Pheasant's Eye
Caltha palustris,Ranunculaceae,Caltha,"Marsh-marigold,Kingcup"
Consolida ajacis,Ranunculaceae,Consolida,Rocket Larkspur
Eranthis hyemalis,Ranunculaceae,Eranthis,Winter Aconite
Hydrastis canadensis,Ranunculaceae,Hydrastis,Goldenseal
Nigella damascena,Ranunculaceae,Nigella,Love-in-a-mist
Nigella sativa,Ranunculaceae,Nigella,Black Cumin
Paeonia officinalis,Paeoniaceae,Paeonia,"Common Peony,European Peony"
Paeonia lactiflora,Paeoniaceae,Paeonia,Chinese Peony
Paeonia suffruticosa,Paeoniaceae,Paeonia,Tree Peony
Papaver somniferum,Papaveraceae,Papaver,Opium Poppy
Papaver rhoeas,Papaveraceae,Papaver,"Common Poppy,Corn Poppy"
Eschscholzia californica,Papaveraceae,Eschscholzia,California Poppy
Meconopsis betonicifolia,Papaveraceae,Meconopsis,Himalayan Blue Poppy
Chelidonium majus,Papaveraceae,Chelidonium,Greater Celandine
Lamprocapnos spectabilis,Papaveraceae,Lamprocapnos,Bleeding Heart
Fumaria officinalis,Papaveraceae,Fumaria,Common Fumitory
Macleaya cordata,Papaveraceae,Macleaya,Plume Poppy
Sanguinaria canadensis,Papaveraceae,Sanguinaria,Bloodroot
Stylophorum diphyllum,Papaveraceae,Stylophorum,Celandine-poppy
Ficus carica,Moraceae,Ficus,Common Fig
Ficus elastica,Moraceae,Ficus,Rubber Plant
Ficus lyrata,Moraceae,Ficus,Fiddle-leaf Fig
Ficus benjamina,Moraceae,Ficus,Weeping Fig
Morus nigra,Moraceae,Morus,Black Mulberry
Morus alba,Moraceae,Morus,White Mulberry
Morus rubra,Moraceae,Morus,Red Mulberry
Artocarpus altilis,Moraceae,Artocarpus,Breadfruit
Artocarpus heterophyllus,Moraceae,Artocarpus,Jackfruit
Broussonetia papyrifera,Moraceae,Broussonetia,Paper Mulberry
Maclura pomifera,Moraceae,Maclura,"Osage-orange,Hedge Apple"
Ficus pumila,Moraceae,Ficus,Creeping Fig
Humulus lupulus,Cannabaceae,Humulus,Common Hop
Cannabis sativa,Cannabaceae,Cannabis,"Hemp,Marijuana"
Celtis occidentalis,Cannabaceae,Celtis,Common Hackberry
Ulmus procera,Ulmaceae,Ulmus,English Elm
Ulmus americana,Ulmaceae,Ulmus,American Elm
Zelkova serrata,Ulmaceae,Zelkova,Japanese Zelkova
Urtica dioica,Urticaceae,Urtica,Stinging Nettle
Pilea cadierei,Urticaceae,Pilea,Aluminium Plant
Boehmeria nivea,Urticaceae,Boehmeria,Ramie
Parietaria judaica,Urticaceae,Parietaria,Spreading Pellitory
Soleirolia soleirolii,Urticaceae,Soleirolia,"Baby's Tears,Mind-your-own-business"
Juglans regia,Juglandaceae,Juglans,"Common Walnut,English Walnut"
Juglans nigra,Juglandaceae,Juglans,Black Walnut
Carya illinoinensis,Juglandaceae,Carya,Pecan
Carya ovata,Juglandaceae,Carya,Shagbark Hickory
Pterocarya fraxinifolia,Juglandaceae,Pterocarya,Caucasian Wingnut
Dianthus caryophyllus,Caryophyllaceae,Dianthus,"Carnation,Clove Pink"
Gypsophila paniculata,Caryophyllaceae,Gypsophila,Baby's-breath
Silene dioica,Caryophyllaceae,Silene,Red Campion
Silene coronaria,Caryophyllaceae,Lychnis,Rose Campion
Stellaria media,Caryophyllaceae,Stellaria,Chickweed
Agrostemma githago,Caryophyllaceae,Agrostemma,Common Corn-cockle
Cerastium tomentosum,Caryophyllaceae,Cerastium,Snow-in-Summer
Dianthus barbatus,Caryophyllaceae,Dianthus,Sweet William
Saponaria officinalis,Caryophyllaceae,Saponaria,"Soapwort,Bouncing Bet"
Silene vulgaris,Caryophyllaceae,Silene,Bladder Campion
Arenaria montana,Caryophyllaceae,Arenaria,Mountain Sandwort
Sagina subulata,Caryophyllaceae,Sagina,Irish Moss
Amaranthus caudatus,Amaranthaceae,Amaranthus,"Love-lies-bleeding,Tassel Flower"
Amaranthus cruentus,Amaranthaceae,Amaranthus,"Red Amaranth,Prince's feather"
Chenopodium album,Amaranthaceae,Chenopodium,"Lamb's Quarters,White Goosefoot"
Chenopodium quinoa,Amaranthaceae,Chenopodium,Quinoa
Spinacia oleracea,Amaranthaceae,Spinacia,Spinach
Beta vulgaris,Amaranthaceae,Beta,"Beet,Beetroot,Sugar Beet,Chard"
Atriplex hortensis,Amaranthaceae,Atriplex,"Garden Orache,Red Orach"
Celosia argentea,Amaranthaceae,Celosia,"Silver Cockscomb,Plumed Cockscomb"
Dysphania ambrosioides,Amaranthaceae,Dysphania,"Epazote,Mexican-tea"
Gomphrena globosa,Amaranthaceae,Gomphrena,Globe Amaranth
Salicornia europaea,Amaranthaceae,Salicornia,"Glasswort,Marsh Samphire"
Suaeda maritima,Amaranthaceae,Suaeda,Annual Seablite
Portulaca oleracea,Portulacaceae,Portulaca,Common Purslane
Portulaca grandiflora,Portulacaceae,Portulaca,"Moss Rose,Eleven o'clock"
Claytonia perfoliata,Montiaceae,Claytonia,"Miner's Lettuce,Winter Purslane"
Lewisia rediviva,Montiaceae,Lewisia,Bitterroot
Talinum paniculatum,Talinaceae,Talinum,Jewels-of-Opar
Basella alba,Basellaceae,Basella,"Malabar Spinach,Vine Spinach"
Opuntia ficus-indica,Cactaceae,Opuntia,"Prickly Pear,Indian Fig"
Schlumbergera truncata,Cactaceae,Schlumbergera,"Thanksgiving Cactus,Crab Cactus"
Epiphyllum oxypetalum,Cactaceae,Epiphyllum,Queen of the Night
Selenicereus grandiflorus,Cactaceae,Selenicereus,Queen of the Night
Hylocereus undatus,Cactaceae,Hylocereus,"Dragon Fruit,Pitaya"
Carnegiea gigantea,Cactaceae,Carnegiea,Saguaro
Echinocactus grusonii,Cactaceae,Echinocactus,Golden Barrel Cactus
Echinopsis pachanoi,Cactaceae,Echinopsis,San Pedro Cactus
Lophophora williamsii,Cactaceae,Lophophora,Peyote
Phytolacca americana,Phytolaccaceae,Phytolacca,American Pokeweed
Rivina humilis,Phytolaccaceae,Rivina,Pigeonberry
Aptenia cordifolia,Aizoaceae,Aptenia,Heartleaf Iceplant
Carpobrotus edulis,Aizoaceae,Carpobrotus,"Hottentot-fig,Ice Plant"
Dorotheanthus bellidiformis,Aizoaceae,Dorotheanthus,Livingstone Daisy
Lithops lesliei,Aizoaceae,Lithops,Living Stones
Mesembryanthemum crystallinum,Aizoaceae,Mesembryanthemum,Common Ice Plant
Tetragonia tetragonioides,Aizoaceae,Tetragonia,"New Zealand Spinach,Warrigal Greens"
Platanus × acerifolia,Platanaceae,Platanus,London Plane
Platanus occidentalis,Platanaceae,Platanus,American Sycamore
Nelumbo nucifera,Nelumbonaceae,Nelumbo,Sacred Lotus
